,AP.VIRIDIAN2_Total_Count
2019-07-02 08:11:31.854003900,7
2019-07-02 08:11:31.855010900,7
2019-07-02 08:11:31.869003200,7
2019-07-02 08:12:31.747009200,7
2019-07-02 08:12:31.765014600,7
2019-07-02 08:12:31.802001900,7
2019-07-02 08:12:31.815002400,7
2019-07-02 08:12:31.849014200,7
2019-07-02 08:12:31.850006100,7
2019-07-02 08:12:31.864013600,7
2019-07-02 08:13:31.768005300,7
2019-07-02 08:13:31.784011800,7
2019-07-02 08:13:31.823013300,7
2019-07-02 08:13:31.836013700,7
2019-07-02 08:13:31.870010300,7
2019-07-02 08:13:31.872009200,7
2019-07-02 08:13:31.883010800,7
2019-07-02 08:14:31.765014600,7
2019-07-02 08:14:31.785003600,7
2019-07-02 08:14:31.819000200,7
2019-07-02 08:14:31.831008900,7
2019-07-02 08:14:31.869003200,7
2019-07-02 08:14:31.870010300,7
2019-07-02 08:14:31.883010800,7
2019-07-02 08:15:31.766006400,7
2019-07-02 08:15:31.782012900,7
2019-07-02 08:15:31.818008400,7
2019-07-02 08:15:31.829010000,7
2019-07-02 08:15:31.862014700,7
2019-07-02 08:15:31.864013600,7
2019-07-02 08:15:31.876007000,7
2019-07-02 08:16:31.785003600,7
2019-07-02 08:16:31.802001900,7
2019-07-02 08:16:31.837005600,7
2019-07-02 08:16:31.848007200,7
2019-07-02 08:16:31.885009700,7
2019-07-02 08:16:31.887008600,7
2019-07-02 08:16:31.898010200,7
2019-07-02 08:17:31.784011800,7
2019-07-02 08:17:31.801010100,7
2019-07-02 08:17:31.842010400,7
2019-07-02 08:17:31.855010900,7
2019-07-02 08:17:31.893005300,7
2019-07-02 08:17:31.894012400,7
2019-07-02 08:17:31.907012900,7
2019-07-02 08:18:31.788009600,7
2019-07-02 08:18:31.806015000,7
2019-07-02 08:18:31.842010400,7
2019-07-02 08:18:31.855010900,7
2019-07-02 08:18:31.891006400,7
2019-07-02 08:18:31.893005300,7
2019-07-02 08:18:31.905014000,7
2019-07-02 08:19:31.815002400,7
2019-07-02 08:19:31.832000700,7
2019-07-02 08:19:31.867004300,7
2019-07-02 08:19:31.878005900,7
2019-07-02 08:19:31.914001400,7
2019-07-02 08:19:31.916000300,7
2019-07-02 08:19:31.928009000,7
2019-07-02 08:21:31.826004000,14
2019-07-02 08:21:31.844009300,14
2019-07-02 08:21:31.884002600,14
2019-07-02 08:21:31.895004200,14
2019-07-02 08:21:31.936004600,14
2019-07-02 08:21:31.937011700,14
2019-07-02 08:21:31.949005100,14
2019-07-02 08:22:31.830001800,14
2019-07-02 08:22:31.848007200,14
2019-07-02 08:22:31.883010800,14
2019-07-02 08:22:31.894012400,14
2019-07-02 08:22:31.930007900,14
2019-07-02 08:22:31.932006800,14
2019-07-02 08:22:31.945007300,14
2019-07-02 08:23:31.833007800,14
2019-07-02 08:23:31.850006100,14
2019-07-02 08:23:31.885009700,14
2019-07-02 08:23:31.897003100,14
2019-07-02 08:23:31.929000800,14
2019-07-02 08:23:31.930007900,14
